,species_1,species_2,jaccard_count,jaccard_norm,jaccard_diff
265,clostridioides_difficile,micrococcus_luteus,0.09377465776919071,0.09742049157952849,-0.003645833810337784
202,campylobacter_jejuni,micrococcus_luteus,0.10189706485634512,0.11064874523878299,-0.00875168038243787
230,burkholderia_pseudomallei,campylobacter_jejuni,0.10789992426715946,0.15656241090217204,-0.04866248663501259
320,pseudomonas_aeruginosa,campylobacter_jejuni,0.11609551364620486,0.17161247829318566,-0.05551696464698079
198,campylobacter_jejuni,mycobacterium_ulcerans,0.1274347235102706,0.18596760930025963,-0.058532885789989025
195,campylobacter_jejuni,stenotrophomonas_maltophilia,0.1276933630408853,0.17236756170441359,-0.044674198663528286
418,staphylococcus_epidermidis,micrococcus_luteus,0.13092675176799906,0.1309509481155364,-2.419634753733635e-05
274,clostridioides_difficile,burkholderia_pseudomallei,0.13323046435739225,0.13253957067850897,0.0006908936788832809
67,micrococcus_luteus,staphylococcus_aureus,0.13468541535116452,0.13306924792917252,0.0016161674219919986
66,micrococcus_luteus,staphylococcus_haemolyticus,0.1347317416622602,0.13433208919157924,0.00039965247068096676
447,bacillus_cereus,micrococcus_luteus,0.14521742725231307,0.15307690898878765,-0.007859481736474577
323,pseudomonas_aeruginosa,clostridioides_difficile,0.14928990033140824,0.15540415282929732,-0.006114252497889078
68,micrococcus_luteus,streptococcus_agalactiae,0.1493564403131619,0.1531154250209568,-0.003758984707794899
427,staphylococcus_epidermidis,burkholderia_pseudomallei,0.1503993953628246,0.18410503513352555,-0.03370563977070096
485,mycobacterium_tuberculosis,campylobacter_jejuni,0.15097755499494764,0.1868776070114933,-0.03590005201654567
297,staphylococcus_pyogenes,burkholderia_pseudomallei,0.1523868669751406,0.22208734693151488,-0.0697004799563743
258,clostridioides_difficile,stenotrophomonas_maltophilia,0.15314500925328703,0.15459207037444786,-0.0014470611211608309
212,burkholderia_pseudomallei,streptococcus_agalactiae,0.15382521568118496,0.2026083793249673,-0.04878316364378235
210,burkholderia_pseudomallei,staphylococcus_haemolyticus,0.15652319927128971,0.19061054828261098,-0.034087349011321266
